№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
536,200 years of pasteurizing the world ofscience,Henrik Caspar Wegener,APMIS,"Volume 132, Issue 1",First published:13 December 2022,https://onlinelibrary.wiley.com/doi/10.1111/apm.13289
537,Scienceagainst modernism: the relevance of the social theory of Michael Polanyi,Charles Thorpe,The British Journal of Sociology,"Volume 52, Issue 1",First published:15 December 2003,https://onlinelibrary.wiley.com/doi/10.1080/00071310020023019
538,The meaning of race inscience--considerations for cancer research,Harold P. Freeman M.D.,Cancer,"Volume 82, Issue 1",First published:31 October 2000,https://onlinelibrary.wiley.com/doi/10.1002/%28SICI%291097-0142%2819980101%2982%3A1%3C219%3A%3AAID-CNCR27%3E3.0.CO%3B2-4
539,Standing Up forScienceand Social Justice,Sara Shostak,Sociological Forum,"Volume 33, Issue 1",First published:04 December 2017,https://onlinelibrary.wiley.com/doi/10.1111/socf.12395
540,"Literature, Religion, andScience: A Personal and Professional Trajectory",Robert Schaible,Zygon®,"Volume 32, Issue 2",First published:26 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.891997088
541,"Literature, Religion, andScience: A Personal and Professional Trajectory",Robert Schaible,Zygon®,"Volume 32, Issue 2",First published:26 January 2004,https://onlinelibrary.wiley.com/doi/10.1111/0591-2385.891997088
542,Students' situational engagement profiles in formal and informalsciencelearning environments,"Patrick N. Beymer, Matthew J. Schell, Kimberly M. Alberts, Vicky Phun, Joshua M. Rosenberg, Jennifer A. Schmidt",Journal of Research inScienceTeaching,Early View,First published:09 December 2024,https://onlinelibrary.wiley.com/doi/10.1002/tea.22017
543,THE LOVE RACKET: DEFINING LOVE ANDAGAPEFORTHE LOVE-AND-SCIENCERESEARCH PROGRAM,Thomas Jay Oord,Zygon®,"Volume 40, Issue 4",First published:25 November 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00717.x
544,Scienceand Practice in Clinical Psychology Doctoral Training,Andri S. Bjornsson,Clinical Psychology:Scienceand Practice,"Volume 19, Issue 4",First published:21 January 2013,https://onlinelibrary.wiley.com/doi/10.1111/cpsp.12017
545,"SCIENCE, RELIGION, AND THE MEANING OF LIFE AND THE UNIVERSE: “AMALGAM” NARRATIVES OF POLISH NATURALSCIENTISTS",Maria Rogińska,Zygon®,"Volume 51, Issue 4",First published:27 November 2016,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12298
546,MAPPING ONE WORLD: RELIGION ANDSCIENCEFROM AN EAST ASIAN PERSPECTIVE,Shin Jaeshik,Zygon®,"Volume 51, Issue 1",First published:18 February 2016,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12239
547,Reviewing the National Curriculum forscience: opportunities and challenges,Robin Millar,The Curriculum Journal,"Volume 22, Issue 2",First published:01 June 2011,https://onlinelibrary.wiley.com/doi/10.1080/09585176.2011.574907
548,Twenty-two years of psychologicalscienceinPsychologicalScience,"Julio González-Alvarez, Mª Angeles Palomar-García",International Journal of Psychology,"Volume 49, Issue 1",First published:20 November 2013,https://onlinelibrary.wiley.com/doi/10.1002/ijop.12009
549,MAKING SPACE FOR THE METHODOLOGICAL MOSAIC: THE FUTURE OF THE FIELD OFSCIENCE-AND-RELIGION,Jaime Wright,Zygon®,"Volume 55, Issue 3",First published:28 August 2020,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12623
550,"Gender,Science, and Medicine in the Early Modern World",Meghan K. Roberts,N/A,N/A,First published:27 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119535812.ch18
551,Scientific evidence: the new emphasis in the practicalsciencecurriculum in England and Wales,"Sandra Duggan, Richard Gott",The Curriculum Journal,"Volume 7, Issue 1",First published:Spring 1996,https://onlinelibrary.wiley.com/doi/10.1080/0958517960070103
552,Recommender-as-a-service with chatbot guided domain-scienceknowledge discovery in asciencegateway,"Komal Vekaria, Prasad Calyam, Sai Swathi Sivarathri, Songjie Wang, Yuanxun Zhang, Ashish Pandey, Cong Chen, Dong Xu, Trupti Joshi, Satish Nair",Concurrency and Computation: Practice and Experience,"Volume 33, Issue 19",First published:11 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/cpe.6080
553,A Parallel Between Radical Reductionism inScienceand in Art,"ERIC R. KANDEL, SARAH MACK",Annals of the New York Academy ofSciences,"Volume 1001, Issue 1",First published:24 January 2006,https://onlinelibrary.wiley.com/doi/10.1196/annals.1279.016
554,Psychological Distance toScienceAffectsScienceEvaluations,"Bojana Većkalov, Natalia Zarzeczna, Frenk van Harreveld, Bastiaan T. Rutjens",Journal of Social Issues,"Volume 81, Issue 1",First published:18 February 2025,https://onlinelibrary.wiley.com/doi/10.1111/josi.12663
555,Alcohol industry involvement inscience: A systematic review of the perspectives of the alcohol research community,"Jim McCambridge, Melissa Mialon",Drug and Alcohol Review,"Volume 37, Issue 5",First published:13 June 2018,https://onlinelibrary.wiley.com/doi/10.1111/dar.12826
556,George Eliot and theScienceof the Human,Ian Duncan,N/A,N/A,First published:01 April 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118542347.ch33
557,Refracted Knowledge: Viewing Families Through the Prism of SocialScience,Alexis J. Walker,Journal of Marriage and Family,"Volume 62, Issue 3",First published:02 March 2004,https://onlinelibrary.wiley.com/doi/10.1111/j.1741-3737.2000.00595.x
558,ScienceCafés: EngagingScientistsand Community through Health andScienceDialogue,"Syed Ahmed M.D., M.P.H., Dr.P.H., Mia C. DeFino M.S., Emily R. Connors M.S., Anne Kissack M.P.H., R.D., Zeno Franco Ph.D.",Clinical and TranslationalScience,"Volume 7, Issue 3",First published:09 April 2014,https://onlinelibrary.wiley.com/doi/10.1111/cts.12153
559,From sociology to historical socialscience: prospects and obstacles,Immanuel Wallerstein,The British Journal of Sociology,"Volume 51, Issue 1",First published:21 August 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-4446.2000.00025.x
560,Whose evidence? Lessons from the philosophy ofscienceand the epistemology of medicine,Edwin Harari,Australian and New Zealand Journal of Psychiatry,"Volume 35, Issue 6",First published:18 September 2008,https://onlinelibrary.wiley.com/doi/10.1046/j.1440-1614.2001.00957.x
561,Scienceand Trans-Science,Alvin M. Weinberg,N/A,N/A,First published:01 January 1972,https://onlinelibrary.wiley.com/doi/10.1002/9780470719848.ch8
562,Students' situational engagement profiles in formal and informalsciencelearning environments,"Patrick N. Beymer, Matthew J. Schell, Kimberly M. Alberts, Vicky Phun, Joshua M. Rosenberg, Jennifer A. Schmidt",Journal of Research inScienceTeaching,Early View,First published:09 December 2024,https://onlinelibrary.wiley.com/doi/10.1002/tea.22017
563,THE LOVE RACKET: DEFINING LOVE ANDAGAPEFORTHE LOVE-AND-SCIENCERESEARCH PROGRAM,Thomas Jay Oord,Zygon®,"Volume 40, Issue 4",First published:25 November 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00717.x
564,Scienceand Practice in Clinical Psychology Doctoral Training,Andri S. Bjornsson,Clinical Psychology:Scienceand Practice,"Volume 19, Issue 4",First published:21 January 2013,https://onlinelibrary.wiley.com/doi/10.1111/cpsp.12017
565,"SCIENCE, RELIGION, AND THE MEANING OF LIFE AND THE UNIVERSE: “AMALGAM” NARRATIVES OF POLISH NATURALSCIENTISTS",Maria Rogińska,Zygon®,"Volume 51, Issue 4",First published:27 November 2016,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12298
566,MAPPING ONE WORLD: RELIGION ANDSCIENCEFROM AN EAST ASIAN PERSPECTIVE,Shin Jaeshik,Zygon®,"Volume 51, Issue 1",First published:18 February 2016,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12239
567,Twenty-two years of psychologicalscienceinPsychologicalScience,"Julio González-Alvarez, Mª Angeles Palomar-García",International Journal of Psychology,"Volume 49, Issue 1",First published:20 November 2013,https://onlinelibrary.wiley.com/doi/10.1002/ijop.12009
568,Reviewing the National Curriculum forscience: opportunities and challenges,Robin Millar,The Curriculum Journal,"Volume 22, Issue 2",First published:01 June 2011,https://onlinelibrary.wiley.com/doi/10.1080/09585176.2011.574907
569,MAKING SPACE FOR THE METHODOLOGICAL MOSAIC: THE FUTURE OF THE FIELD OFSCIENCE-AND-RELIGION,Jaime Wright,Zygon®,"Volume 55, Issue 3",First published:28 August 2020,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12623
570,"Gender,Science, and Medicine in the Early Modern World",Meghan K. Roberts,N/A,N/A,First published:27 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119535812.ch18
571,Scientific evidence: the new emphasis in the practicalsciencecurriculum in England and Wales,"Sandra Duggan, Richard Gott",The Curriculum Journal,"Volume 7, Issue 1",First published:Spring 1996,https://onlinelibrary.wiley.com/doi/10.1080/0958517960070103
572,Recommender-as-a-service with chatbot guided domain-scienceknowledge discovery in asciencegateway,"Komal Vekaria, Prasad Calyam, Sai Swathi Sivarathri, Songjie Wang, Yuanxun Zhang, Ashish Pandey, Cong Chen, Dong Xu, Trupti Joshi, Satish Nair",Concurrency and Computation: Practice and Experience,"Volume 33, Issue 19",First published:11 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/cpe.6080
573,A Parallel Between Radical Reductionism inScienceand in Art,"ERIC R. KANDEL, SARAH MACK",Annals of the New York Academy ofSciences,"Volume 1001, Issue 1",First published:24 January 2006,https://onlinelibrary.wiley.com/doi/10.1196/annals.1279.016
574,Psychological Distance toScienceAffectsScienceEvaluations,"Bojana Većkalov, Natalia Zarzeczna, Frenk van Harreveld, Bastiaan T. Rutjens",Journal of Social Issues,"Volume 81, Issue 1",First published:18 February 2025,https://onlinelibrary.wiley.com/doi/10.1111/josi.12663
575,Alcohol industry involvement inscience: A systematic review of the perspectives of the alcohol research community,"Jim McCambridge, Melissa Mialon",Drug and Alcohol Review,"Volume 37, Issue 5",First published:13 June 2018,https://onlinelibrary.wiley.com/doi/10.1111/dar.12826
576,George Eliot and theScienceof the Human,Ian Duncan,N/A,N/A,First published:01 April 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118542347.ch33
577,Refracted Knowledge: Viewing Families Through the Prism of SocialScience,Alexis J. Walker,Journal of Marriage and Family,"Volume 62, Issue 3",First published:02 March 2004,https://onlinelibrary.wiley.com/doi/10.1111/j.1741-3737.2000.00595.x
578,ScienceCafés: EngagingScientistsand Community through Health andScienceDialogue,"Syed Ahmed M.D., M.P.H., Dr.P.H., Mia C. DeFino M.S., Emily R. Connors M.S., Anne Kissack M.P.H., R.D., Zeno Franco Ph.D.",Clinical and TranslationalScience,"Volume 7, Issue 3",First published:09 April 2014,https://onlinelibrary.wiley.com/doi/10.1111/cts.12153
579,From sociology to historical socialscience: prospects and obstacles,Immanuel Wallerstein,The British Journal of Sociology,"Volume 51, Issue 1",First published:21 August 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-4446.2000.00025.x
580,Whose evidence? Lessons from the philosophy ofscienceand the epistemology of medicine,Edwin Harari,Australian and New Zealand Journal of Psychiatry,"Volume 35, Issue 6",First published:18 September 2008,https://onlinelibrary.wiley.com/doi/10.1046/j.1440-1614.2001.00957.x
581,Scienceand Trans-Science,Alvin M. Weinberg,N/A,N/A,First published:01 January 1972,https://onlinelibrary.wiley.com/doi/10.1002/9780470719848.ch8
582,Students' situational engagement profiles in formal and informalsciencelearning environments,"Patrick N. Beymer, Matthew J. Schell, Kimberly M. Alberts, Vicky Phun, Joshua M. Rosenberg, Jennifer A. Schmidt",Journal of Research inScienceTeaching,Early View,First published:09 December 2024,https://onlinelibrary.wiley.com/doi/10.1002/tea.22017
583,THE LOVE RACKET: DEFINING LOVE ANDAGAPEFORTHE LOVE-AND-SCIENCERESEARCH PROGRAM,Thomas Jay Oord,Zygon®,"Volume 40, Issue 4",First published:25 November 2005,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-9744.2005.00717.x
584,Scienceand Practice in Clinical Psychology Doctoral Training,Andri S. Bjornsson,Clinical Psychology:Scienceand Practice,"Volume 19, Issue 4",First published:21 January 2013,https://onlinelibrary.wiley.com/doi/10.1111/cpsp.12017
585,"SCIENCE, RELIGION, AND THE MEANING OF LIFE AND THE UNIVERSE: “AMALGAM” NARRATIVES OF POLISH NATURALSCIENTISTS",Maria Rogińska,Zygon®,"Volume 51, Issue 4",First published:27 November 2016,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12298
586,MAPPING ONE WORLD: RELIGION ANDSCIENCEFROM AN EAST ASIAN PERSPECTIVE,Shin Jaeshik,Zygon®,"Volume 51, Issue 1",First published:18 February 2016,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12239
587,Twenty-two years of psychologicalscienceinPsychologicalScience,"Julio González-Alvarez, Mª Angeles Palomar-García",International Journal of Psychology,"Volume 49, Issue 1",First published:20 November 2013,https://onlinelibrary.wiley.com/doi/10.1002/ijop.12009
588,Reviewing the National Curriculum forscience: opportunities and challenges,Robin Millar,The Curriculum Journal,"Volume 22, Issue 2",First published:01 June 2011,https://onlinelibrary.wiley.com/doi/10.1080/09585176.2011.574907
589,MAKING SPACE FOR THE METHODOLOGICAL MOSAIC: THE FUTURE OF THE FIELD OFSCIENCE-AND-RELIGION,Jaime Wright,Zygon®,"Volume 55, Issue 3",First published:28 August 2020,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12623
590,"Gender,Science, and Medicine in the Early Modern World",Meghan K. Roberts,N/A,N/A,First published:27 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119535812.ch18
591,Scientific evidence: the new emphasis in the practicalsciencecurriculum in England and Wales,"Sandra Duggan, Richard Gott",The Curriculum Journal,"Volume 7, Issue 1",First published:Spring 1996,https://onlinelibrary.wiley.com/doi/10.1080/0958517960070103
592,Recommender-as-a-service with chatbot guided domain-scienceknowledge discovery in asciencegateway,"Komal Vekaria, Prasad Calyam, Sai Swathi Sivarathri, Songjie Wang, Yuanxun Zhang, Ashish Pandey, Cong Chen, Dong Xu, Trupti Joshi, Satish Nair",Concurrency and Computation: Practice and Experience,"Volume 33, Issue 19",First published:11 November 2020,https://onlinelibrary.wiley.com/doi/10.1002/cpe.6080
593,A Parallel Between Radical Reductionism inScienceand in Art,"ERIC R. KANDEL, SARAH MACK",Annals of the New York Academy ofSciences,"Volume 1001, Issue 1",First published:24 January 2006,https://onlinelibrary.wiley.com/doi/10.1196/annals.1279.016
594,Psychological Distance toScienceAffectsScienceEvaluations,"Bojana Većkalov, Natalia Zarzeczna, Frenk van Harreveld, Bastiaan T. Rutjens",Journal of Social Issues,"Volume 81, Issue 1",First published:18 February 2025,https://onlinelibrary.wiley.com/doi/10.1111/josi.12663
595,Alcohol industry involvement inscience: A systematic review of the perspectives of the alcohol research community,"Jim McCambridge, Melissa Mialon",Drug and Alcohol Review,"Volume 37, Issue 5",First published:13 June 2018,https://onlinelibrary.wiley.com/doi/10.1111/dar.12826
596,George Eliot and theScienceof the Human,Ian Duncan,N/A,N/A,First published:01 April 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118542347.ch33
597,Refracted Knowledge: Viewing Families Through the Prism of SocialScience,Alexis J. Walker,Journal of Marriage and Family,"Volume 62, Issue 3",First published:02 March 2004,https://onlinelibrary.wiley.com/doi/10.1111/j.1741-3737.2000.00595.x
598,ScienceCafés: EngagingScientistsand Community through Health andScienceDialogue,"Syed Ahmed M.D., M.P.H., Dr.P.H., Mia C. DeFino M.S., Emily R. Connors M.S., Anne Kissack M.P.H., R.D., Zeno Franco Ph.D.",Clinical and TranslationalScience,"Volume 7, Issue 3",First published:09 April 2014,https://onlinelibrary.wiley.com/doi/10.1111/cts.12153
599,From sociology to historical socialscience: prospects and obstacles,Immanuel Wallerstein,The British Journal of Sociology,"Volume 51, Issue 1",First published:21 August 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1468-4446.2000.00025.x
600,Whose evidence? Lessons from the philosophy ofscienceand the epistemology of medicine,Edwin Harari,Australian and New Zealand Journal of Psychiatry,"Volume 35, Issue 6",First published:18 September 2008,https://onlinelibrary.wiley.com/doi/10.1046/j.1440-1614.2001.00957.x
